Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature degree cellcius,Year,,Random,
Wheat,Khagrachari,70,35,14.35,,1987,,0.776158429,28
Wheat,Faridpur,120880,74490,11.25,,1987,,0.775891652,29
Wheat,Tangail,60735,39740,18,,1987,,0.775740151,29
Wheat,Kustia,113375,97410,14.35,,1987,,0.775298646,29
Wheat,Bogra,58635,44360,6.25,,1987,,0.775042999,29
Wheat,Chittagonj,135,80,22.25,,1987,,0.774586105,29
Wheat,Rangpur,186775,131130,6.5,,1987,,0.773047517,28
Wheat,Dhaka,91910,64080,11,,1987,,0.771821878,29
Wheat,Mymensingh,29425,19890,5.25,,1987,,0.771535068,27
Wheat,Rangamati,10,5,38.25,,1987,,0.771286655,26
Wheat,Noakhali,3455,2010,14.75,,1987,,0.769337848,26
Wheat,Bandarban,5,5,14.35,,1987,,0.769065993,26
Wheat,Pabna,122160,71130,14.35,,1987,,0.768895532,26
Wheat,Khulna,8130,6835,15,,1987,,0.768671692,27
Wheat,Kishoregonj,28285,19350,14.35,,1987,,0.766493533,26
Wheat,Jessore,110190,104505,4,,1987,,0.766335548,27
Wheat,Rajshahi,128065,93210,3.25,,1987,,0.7657434,26
Wheat,Comilla,184000,122310,17.75,,1987,,0.765129784,27
Wheat,Jamalpur,52540,37340,14.35,,1987,,0.765123738,26
Wheat,Patuakhali,350,210,26.5,,1987,,0.764219785,26
Wheat,Sylhet,16360,10525,21.5,,1987,,0.764127911,27
Wheat,Barisal,18215,13840,11,,1987,,0.763608498,27
Wheat,Dinajpur,142585,95525,11.5,,1987,,0.763575424,28
Wheat,Tangail,51620,37030,55.5,,1988,,0.763336186,27
Wheat,Rangamati,0,0,13.75,,1988,,0.762371711,28
Wheat,Rajshahi,115260,87160,14.5,,1988,,0.76224502,26
Wheat,Chittagonj,0,0,21,,1988,,0.761926217,26
Wheat,Bogra,49840,39175,30.5,,1988,,0.761653174,26
Wheat,Jessore,110000,91245,31.75,,1988,,0.761572221,26
Wheat,Khagrachari,0,0,33.35,,1988,,0.761523523,26
Wheat,Mymensingh,27950,20705,44.5,,1988,,0.761437881,25
Wheat,Pabna,128270,73295,33.35,,1988,,0.761339499,25
Wheat,Khulna,8620,7330,47.5,,1988,,0.761045362,25
Wheat,Jamalpur,47280,36850,33.35,,1988,,0.760807843,27
Wheat,Kustia,107700,96195,33.35,,1988,,0.760519488,27
Wheat,Bandarban,0,0,33.35,,1988,,0.760353785,27
Wheat,Comilla,161055,112590,19,,1988,,0.760086334,27
Wheat,Barisal,12750,8950,33.75,,1988,,0.759668466,26
Wheat,Patuakhali,330,215,46.5,,1988,,0.757974458,27
Wheat,Sylhet,15540,11195,57.75,,1988,,0.755306149,27
